name,edition_year,date_start,date_end,event_type,competitive,terrain,bike_type,start_city,province,region,country,distances_km,elevation_gain_m,start_time,participant_limit,registration_fee,registration_deadline,registration_url,website,email,phone,instagram,facebook,organizer,circuit,first_edition,description,image_url,source
La Casentina,2026,2026-08-01,2026-08-02,ciclostorica,non-competitive,mixed road,vintage,Castel San Niccolo,Arezzo,Toscana,Italia,83/53/30,,,,,,,lacasentina.com,,,,,MTB Casentino,,,Historic cyclotourism in the Casentino valley.,,battistrada.com
Lamporecchio Ciclostorica (Mem. Pietro Marradini),2026,2026-08-02,,ciclostorica,non-competitive,mixed road,vintage,Lamporecchio,Pistoia,Toscana,Italia,,,,,,,,battistrada.com,,,,,,,,,https://media.endu.net/editions/106180/logos/c1702f13-e9d2-447e-a911-a1243172e9b7.png?1780409086352,battistrada.com
Pedalata delle Stelle VCO,2026,2026-08-08,,night ride/pedalata,non-competitive,road,any,Verbania,Verbano-Cusio-Ossola,Piemonte,Italia,104/63,,night,,,,,pedalatadellestellevco.it,,+39 329 2754030,https://www.instagram.com/pedalatadellestellevco/,https://www.facebook.com/pedalatadellestellevco,,,,Non-competitive nocturnal ride starting and finishing in Verbania.,https://www.pedalatadellestellevco.it/wp-content/uploads/2025/03/Logo-rivisto8-FULL.png,fieradelcicloturismo.it
Eroica Dolomiti,2026,2026-09-04,2026-09-06,ciclostorica,non-competitive,mixed road,vintage,San Candido,Bolzano,Trentino-Alto Adige,Italia,,,,,,,,eroica.cc,,,https://www.instagram.com/eroica.cc/,https://www.facebook.com/Eroica,Eroica Gaiole,Eroica & Nova Eroica,,Vintage Eroica event in the Dolomites.,https://www.eroica.cc/wp-content/uploads/2025/01/Screenshot-2025-01-27-alle-16.12.37.png,eroica.cc
Nova Eroica Ivrea,2026,2026-09-12,2026-09-13,ciclostorica,mixed (timed+free),white roads/gravel,gravel/vintage,Ivrea,Torino,Piemonte,Italia,,,,,,,,eroica.cc,,,https://www.instagram.com/eroica.cc/,https://www.facebook.com/Eroica,Eroica Gaiole,Eroica & Nova Eroica,,Gravel Eroica event in the Canavese.,https://www.eroica.cc/wp-content/uploads/2025/01/Screenshot-2025-01-27-alle-16.12.37.png,eroica.cc
Bikeboobs Trail,2026,2026-09-17,2026-09-20,trail/bikepacking,non-competitive,gravel,gravel,Orbetello,Grosseto,Toscana,Italia,295/230/197,,,,85 EUR,,,bikeboobstrail.it,info@bikeboobstrail.it,,https://www.instagram.com/bikeboobs.trail/,https://www.facebook.com/therealbikeboobs,,,,Women-focused gravel adventure from Orbetello to Buonconvento.,https://www.bikeboobstrail.it/images/index-4-556x382.jpg,fieradelcicloturismo.it
Bike and Flavours,2026,2026-09-21,2026-09-25,bikepacking,non-competitive,gravel,gravel,Suvereto,Livorno,Toscana,Italia,,,,,,,,dakotasfriends.com,,,,,,,,Bikepacking experience regenerating legs and palate.,https://dakotasfriends.com/assets/hero-bg-C-LhWast.jpg,fieradelcicloturismo.it
L'Eroica,2026,2026-10-04,2026-10-05,ciclostorica,non-competitive,white roads/gravel,vintage,Gaiole in Chianti,Siena,Toscana,Italia,,,,,,,,eroica.cc,,,https://www.instagram.com/eroica.cc/,https://www.facebook.com/Eroica,Eroica Gaiole / Eroica Italia,Eroica & Nova Eroica,,The original heroic vintage cycling event on Tuscan white roads; wool jerseys and pre-1987 bikes.,https://www.eroica.cc/wp-content/uploads/2025/01/Screenshot-2025-01-27-alle-16.12.37.png,eroica.cc
100x100 Donne,2026,2026-10-04,,pedalata/community,non-competitive,road,any,Ivrea,Torino,Piemonte,Italia,100/50,,,,,,,,,,,,Paola Gianotti,,,Women-only charity ride led by ultracyclist Paola Gianotti; 100 km or 50 km.,https://turismoincanavese.com/wp-content/uploads/2026/02/100x100-donne-2-edizione-IT.jpg,bikeitalia.it
Molise Trail,2026,2026-10-30,2026-11-03,trail/bikepacking,non-competitive,gravel/MTB,gravel/MTB,Petacciato,Campobasso,Molise,Italia,400/300/200,8000/6000/4500,,,99-129 EUR,,,molisetrail.it,info@molisetrail.it,,https://www.instagram.com/molise_trail/,https://www.facebook.com/profile.php?id=61566845196574,,,,Late-season bikepacking adventure through untouched Molise panoramas.,https://www.molisetrail.it/wp-content/uploads/2026/04/CS0A0468-scaled.jpg,fieradelcicloturismo.it
La Francescana Ciclostorica,2026,2026-09-18,2026-09-20,ciclostorica,non-competitive,mixed road,vintage,Foligno,Perugia,Umbria,Italia,80/53/33,,,,35 EUR (spring),,,lafrancescana.it,,,https://www.instagram.com/lafrancescana/,,,,,Vintage cyclotourism event in Umbria (date TBC for 2026).,https://lafrancescana.it/wp-content/uploads/elementor/thumbs/francescana-trenitalia-locand-2023-qbq7kpnd6yp1u0j8h240beprjg3qkxncml9thuacpy.jpg,lafrancescana.it
La Fausto de Tierra,2026,2026-06-27,,gravel,non-competitive,gravel,gravel/e-bike,Cuneo,Cuneo,Piemonte,Italia,67,730,08:30,,25 EUR (40 combo),,https://www.faustocoppi.net/new/fausto-coppi-de-tierra/,faustocoppi.net,,,https://www.instagram.com/la_fausto_coppi/,,ASD Fausto Coppi,,,"Non-competitive gravel event in Cuneo, no individual ranking.",https://www.faustocoppi.net/new/wp-content/uploads/2026/02/FC_de_Tierra_14_2025.jpg,sportiamoci.it / ideawebtv.it
Tuscany Trail,2026,2026-05-20,2026-05-26,bikepacking,non-competitive,gravel/MTB,gravel/MTB,Campiglia Marittima,Livorno,Toscana,Italia,445/160 (+100 Chianti detour),5300,,6000,,,,tuscanytrail.it,,,https://www.instagram.com/tuscanytrail/,https://www.facebook.com/TuscanyTrail/,BikePacking Italia (Andrea Borchi),,,"World's largest bikepacking event; self-supported, no race, no time limits.",https://bo.tuscanytrail.it/wp-content/uploads/2025/05/DJI_0159.jpg,tuscanytrail.it
AUGH - Umbria Bikepacking,2026,2026-07-04,2026-07-05,bikepacking,non-competitive,gravel/MTB,gravel/MTB,Foligno,Perugia,Umbria,Italia,,,,,,,,umbriabikepacking.it,info@umbriabikepacking.it,,https://www.instagram.com/umbriabikepacking.it/,https://www.facebook.com/umbriabikepacking,La Tribu di Augh,,,"Two days of off-road adventure in the Umbrian Apennines: ride, reach the village, pitch a tent, community vibe.",https://www.umbriabikepacking.it/wp-content/uploads/2022/11/AUGH3-300x283.png,umbriabikepacking.it
La Chianina UBA - Unconventional Bike Adventure,2026,2026-06-05,2026-06-07,bikepacking/gravel,non-competitive,white roads/gravel,gravel,Marciano della Chiana,Arezzo,Toscana,Italia,,,,200,70 EUR,,https://www.endu.net/en/events/la-chianina-unconventional-bike-adventure,lachianina.org,,,https://www.instagram.com/la_chianina_uba/,https://www.facebook.com/people/La-Chianina-UBA/61572025005526/,ASD La Chianina,,,Non-competitive 3-day gravel adventure (2 routes/day) on the white roads of Valdichiana; base camp in Marciano.,https://www.lachianina.org/wp-content/uploads/2025/12/Chianina_UBA_Banner-2026-OK.jpg,lachianina.org
Sterro Appalla vol.5,2026,2026-05-22,2026-05-24,gravel/gathering,non-competitive,gravel,gravel/touring,Bagno a Ripoli (Mondeggi),Firenze,Toscana,Italia,110/70/short/easy,2500 (long),,,30-95 EUR,,,bbpgravelfirenze.it,sterroappalla@gmail.com,,https://www.instagram.com/sterro_appalla/,https://facebook.com/sterroappalla,ASD BBP Gravel Firenze,,,3-day gravel camp with tents and bonfire in the Chianti Fiorentino.,https://www.bbpgravelfirenze.it/wp-content/uploads/2026/04/percorsi_sap_2026-scaled.jpeg,bbpgravelfirenze.it
G.Round Parma,2026,2026-01-31,,gravel,non-competitive,gravel,gravel,Parma,Parma,Emilia-Romagna,Italia,,,,,,,,bbpgravelfirenze.it,,,https://www.instagram.com/sterro_appalla/,,ASD BBP Gravel Firenze,G.Round,,"Winter gravel round 'for fun, not for ranking': shared start, two or more routes for all levels.",https://www.bbpgravelfirenze.it/wp-content/uploads/2026/04/percorsi_sap_2026-scaled.jpeg,bbpgravelfirenze.it / pianetamountainbike.it
G.Round Padova,2026,2026-02-28,,gravel,non-competitive,gravel,gravel,Padova,Padova,Veneto,Italia,,,,,,,,bbpgravelfirenze.it,,,https://www.instagram.com/sterro_appalla/,,ASD BBP Gravel Firenze,G.Round,,"Winter gravel round 'for fun, not for ranking': shared start, two or more routes for all levels.",https://www.bbpgravelfirenze.it/wp-content/uploads/2026/04/percorsi_sap_2026-scaled.jpeg,bbpgravelfirenze.it / gravel.it
